2024-03-11,3.40
2024-03-13,4.40
2024-03-15,4.40
2024-03-22,4.40
2024-03-29,4.40
2024-04-12,6.60
2024-04-19,6.50
2024-04-22,6.50
2024-04-24,6.60
2024-04-26,6.50
2024-04-29,6.70
2024-05-08,5.90
2024-05-24,6.60
2024-05-27,6.50
2024-05-29,6.50
2024-05-31,6.40
2024-06-03,6.50
2024-06-05,5.00
2024-06-07,1.30
2024-06-08,5.00
2024-06-10,5.50
2024-06-12,5.00
2024-06-14,5.00
2024-06-17,5.00
2024-06-19,5.00
2024-06-21,5.00
2024-06-24,5.00
2024-06-26,5.00
2024-06-28,5.00
2024-07-03,5.00
2024-07-05,5.00
2024-07-08,5.00
2024-07-10,5.00
2024-07-17,5.00
2024-07-19,5.00
2024-07-22,5.00
2024-07-24,5.00
2024-07-26,5.00
2024-07-29,5.00
2024-07-31,5.00
2024-08-02,5.00
2024-08-05,5.41
2024-08-07,5.54
