2023-05-18,6.54
2023-05-19,5.73
2023-05-20,6.26
2023-05-21,4.08
2023-05-23,6.58
2023-05-29,6.55
2023-05-30,6.55
2023-05-31,6.53
2023-06-01,6.57
2023-06-02,6.51
2023-06-05,6.50
2023-06-06,6.65
2023-06-07,6.63
2023-06-08,6.57
2023-06-09,6.17
2023-06-12,6.38
2023-06-13,6.76
2023-06-14,6.84
2023-06-15,6.48
2023-06-16,1.34
2023-06-19,6.58
2023-06-20,6.56
2023-06-21,6.56
2023-06-25,6.37
2023-06-26,6.34
2023-06-28,6.83
2023-06-29,6.37
2023-06-30,6.53
2023-07-04,6.53
2023-07-05,6.57
2023-07-06,2.23
2023-07-07,6.58
2023-07-08,6.54
2023-07-10,6.56
2023-07-11,6.54
2023-07-13,6.60
2023-07-14,6.59
2023-07-17,6.47
2023-07-18,6.56
2023-07-20,6.62
2023-07-24,6.43
2023-07-25,6.57
2023-07-27,6.52
2023-07-31,6.57
2023-08-02,6.36
2023-08-04,6.47
2023-08-07,6.52
2023-08-09,6.51
2023-08-11,6.48
2023-08-14,6.56
2023-08-16,6.54
2023-08-18,6.47
2023-08-21,6.56
2023-08-23,6.45
2023-08-25,6.55
2023-08-28,6.56
2023-08-30,5.19
2023-09-01,5.12
2023-09-06,5.23
2023-09-08,5.06
2023-09-14,2.57
2023-09-25,6.48
2023-09-26,6.47
2023-09-27,6.62
2023-09-28,5.75
2023-09-30,1.80
2023-10-05,3.42
2023-10-09,6.23
2023-10-11,6.51
2023-10-13,6.49
2023-10-16,6.52
2023-10-18,6.54
2023-10-20,6.47
2023-10-23,6.54
2023-10-25,6.51
2023-10-27,6.53
2023-10-29,2.00
2023-10-30,6.52
2023-11-01,6.53
2023-11-03,6.53
2023-11-17,6.54
2023-12-08,3.93
